4.0600 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
132.6118 	EXP 	grating: tex = 'sin'
132.9115 	EXP 	grating: autoDraw = False
133.0056 	EXP 	window1: recordFrameIntervals = False
133.0064 	DATA 	Keypress: right
133.0117 	EXP 	fixation: autoDraw = False
133.0117 	EXP 	grating: autoDraw = False
133.0118 	EXP 	window1: recordFrameIntervals = False
134.0113 	EXP 	fixation: autoDraw = True
135.0114 	EXP 	fixation: autoDraw = False
135.0114 	EXP 	grating: autoDraw = True
135.0114 	EXP 	grating: tex = 'sin'
135.3113 	EXP 	grating: autoDraw = False
135.3135 	EXP 	window1: recordFrameIntervals = False
135.3148 	DATA 	Keypress: left
135.3280 	EXP 	fixation: autoDraw = False
135.3280 	EXP 	grating: autoDraw = False
135.3282 	EXP 	window1: recordFrameIntervals = False
136.3278 	EXP 	fixation: autoDraw = True
137.3278 	EXP 	fixation: autoDraw = False
137.3278 	EXP 	grating: autoDraw = True
137.3278 	EXP 	grating: tex = 'sin'
137.6141 	EXP 	window1: recordFrameIntervals = False
137.6157 	DATA 	Keypress: right
137.6278 	EXP 	grating: autoDraw = False
137.6278 	EXP 	fixation: autoDraw = False
137.6278 	EXP 	grating: autoDraw = False
137.6281 	EXP 	window1: recordFrameIntervals = False
138.6275 	EXP 	fixation: autoDraw = True
139.6277 	EXP 	fixation: autoDraw = False
139.6277 	EXP 	grating: autoDraw = True
139.6277 	EXP 	grating: tex = 'sin'
139.9277 	EXP 	grating: autoDraw = False
139.9303 	EXP 	window1: recordFrameIntervals = False
139.9318 	DATA 	Keypress: left
139.9442 	EXP 	fixation: autoDraw = False
139.9442 	EXP 	grating: autoDraw = False
139.9445 	EXP 	window1: recordFrameIntervals = False
140.9441 	EXP 	fixation: autoDraw = True
141.9444 	EXP 	fixation: autoDraw = False
141.9444 	EXP 	grating: autoDraw = True
141.9444 	EXP 	grating: tex = 'sin'
142.2441 	EXP 	grating: autoDraw = False
142.3136 	EXP 	window1: recordFrameIntervals = False
142.3151 	DATA 	Keypress: left
142.3276 	EXP 	fixation: autoDraw = False
142.3276 	EXP 	grating: autoDraw = False
142.3279 	EXP 	window1: recordFrameIntervals = False
143.3271 	EXP 	fixation: autoDraw = True
144.3273 	EXP 	fixation: autoDraw = False
144.3273 	EXP 	grating: autoDraw = True
144.3273 	EXP 	grating: tex = 'sin'
144.6129 	EXP 	window1: recordFrameIntervals = False
144.6142 	DATA 	Keypress: right
144.6277 	EXP 	grating: autoDraw = False
144.6277 	EXP 	fixation: autoDraw = False
144.6277 	EXP 	grating: autoDraw = False
144.6280 	EXP 	window1: recordFrameIntervals = False
145.6270 	EXP 	fixation: autoDraw = True
146.6273 	EXP 	fixation: autoDraw = False
146.6273 	EXP 	grating: autoDraw = True
